sourceId,orgName,location,type,email,phone,facebook,linkedinPeople,website,notes,eventSpecificLine,enrichedAt,contactFound
f99d39773748,Idaho Vintage Motorcycle & Bicycle Rally and Show,"Caldwell, ID",other,,,https://www.facebook.com/theidahovintagemotorcycleclub,[],https://www.idahovintagemotorcycleclub.org,"Idaho-based vintage motorcycle club dedicated to preservation of motorcycling history, publishing The Megaphone newsletter six times yearly.",Looks like the 50th Annual Idaho Vintage Motorcycle & Bicycle Rally & Show is coming up this March — hope planning's going well.,2026-07-10T03:01:36.622Z,true
90c026a01538,Kawaii Kon Anime Swap Meet,"Honolulu, HI",other,[email protected],,https://www.facebook.com/kawaiikon/,[],https://kawaiikon.com/,Hawaii's largest anime convention operated by Its Complicated LLC as a not-for-profit entity celebrating Japanese culture and anime.,Looks like the Anime Swap Meet just wrapped up in June — hope it went well!,2026-07-10T03:01:57.205Z,true
580b72dc4c60,Rogue Valley Bike Swap,"Ashland, OR",bike,info@rvtd.org,541-779-2877,https://www.facebook.com/rideRVTD/,"[{""name"":""Sulaiman Shelton"",""location"":""Ashland, OR"",""role"":""Organizer""},{""name"":""Mike Vergeer"",""location"":""Ashland, OR"",""role"":""Organizer""}]",https://rvtd.org,"RVTD is the public transportation provider in the Rogue Valley, hosting the annual bike swap since the early 2000s to support youth bike education programs.",Looks like the 34th annual Rogue Valley Bike Swap is coming up this April — hope planning's going well.,2026-07-10T03:02:15.557Z,true
72ef1353a5c2,Bend Bike Swap,"Bend, OR",bike,ann@bendenduranceacademy.org,(503) 914-7616,https://www.facebook.com/bendbikeswap/,"[{""name"":""Billy Lister"",""location"":""Bend, OR"",""role"":""Director""},{""name"":""Conor Munns"",""location"":""Bend, OR"",""role"":""Director""},{""name"":""Ryan McGlone"",""location"":""Bend, OR"",""role"":""Organizer""}]",https://bikeswapbend.com/,"Bend Endurance Academy is a nonprofit youth sports organization that runs programs in mountain biking, rock climbing, and Nordic skiing.",Looks like the Bend Bike Swap is coming up this April — hope planning's going well for the 24th-26th.,2026-07-10T03:02:33.644Z,true
45c0c97cc123,Oregon Classic Antique Bicycle & Motorcycle Swap Meet,"Salem, OR",bike,office@antiquepowerland.com,503-393-2424,https://www.facebook.com/AntiquePowerland/,[],https://www.antiquepowerland.com,"Powerland Heritage Park is a 62-acre volunteer-run heritage museum campus with 14 museums near Salem, Oregon.",Looks like the Oregon Classic Antique Bicycle & Motorcycle Swap Meet is coming up this September — hope planning's going well.,2026-07-10T03:02:56.015Z,true
cf5164092935,Portland Bike Swap,"Portland, OR",bike,info@portlandbikeswap.org,,https://www.facebook.com/portlandbikeswap/,"[{""name"":""Dan Sloan"",""location"":""Portland, OR"",""role"":""Organizer""},{""name"":""Matt Martin"",""location"":""Portland, OR"",""role"":""Director""}]",www.portlandbikeswap.org,Annual bike parts swap benefiting Rosewood Initiative and Rosewood Bikes in East Portland.,Looks like the Portland Bike Swap is coming up this spring — hope planning's going well.,2026-07-10T03:03:16.134Z,true
b22ef96ea32d,Bikes for Humanity PDX,"Portland, OR",bike,info@b4hpdx.org,(503) 496-6941,https://www.facebook.com/BikesForHumanityPDX/,"[{""name"":""Andrew Shaw-Kitch"",""location"":""Portland, OR"",""role"":""Director""}]",https://www.b4hpdx.org/,Non-profit bike shop and school in SE Portland offering affordable refurbished bicycles and bike maintenance education.,Looks like your volunteer nights run Wednesdays and summer repair events continue at Gresham's Main City Park — hope it's all going well.,2026-07-10T03:03:36.247Z,true
fe603213d977,Bike Farm,"Portland, OR",bike,bikefarm@bikefarm.org,(971) 533-7428,https://www.facebook.com/bikefarm/,"[{""name"":""Ariel Raymon"",""location"":""Portland, OR"",""role"":""Organizer""},{""name"":""Becca Dillon"",""location"":""Portland, OR"",""role"":""Organizer""},{""name"":""Jennifer Collins"",""location"":""Portland, OR"",""role"":""Organizer""}]",https://bikefarm.org/,"All volunteer-run nonprofit bike cooperative offering DIY repair workspace, used bikes and parts for sale with inclusive community programming.",Bike Farm runs ongoing open shop hours Wednesdays and Thursdays 5:30-8:30pm and Sundays 11am-2pm for DIY bike maintenance and parts sales.,2026-07-10T03:03:53.219Z,true
cded5948e9ad,Community Cycling Center,"Portland, OR",bike,info@communitycyclingcenter.org,503-287-8786,https://www.facebook.com/CommunityCyclingCenter/,"[{""name"":""Ruben Alvarado"",""location"":""Portland, OR"",""role"":""Director""},{""name"":""William"",""location"":""Portland, OR"",""role"":""Director""},{""name"":""Jacks Volkoff"",""location"":""Portland, OR"",""role"":""Director""},{""name"":""Carl Wilson"",""location"":""Portland, OR"",""role"":""Organizer""}]",https://communitycyclingcenter.org/,"Portland nonprofit bike shop founded in 1994 that broadens access to bicycling through education programs, bike donations, and affordable services.",Your Salvage Sale runs every Sunday at 10am — what a great community resource for keeping bikes out of the scrap yard.,2026-07-10T03:04:10.946Z,true
e0620529c911,Boise Bicycle Project,"Boise, ID",bike,info@boisebicycleproject.org,(208) 429-6520,https://www.facebook.com/BoiseBicycleProject/,"[{""name"":""Devin McComas"",""location"":""Boise, ID"",""role"":""Director""},{""name"":""Benton Smith"",""location"":""Boise, ID"",""role"":""Director""},{""name"":""Tim Glaza"",""location"":""Boise, ID"",""role"":""Director""},{""name"":""Jimmy Hallyburton"",""location"":""Boise, ID"",""role"":""Organizer""}]",https://www.boisebicycleproject.org/,"Community-oriented bicycle co-op functioning as a recycling center and educational workspace offering refurbished bikes, DIY repair, and youth programs.",Looks like your Holiday Kids Bike Giveaway is coming up this December — hope planning's going well.,2026-07-10T03:04:35.291Z,true
f7ca33ba23cf,Boise Vintage Bike Swap Meet,"Boise, ID",bike,lookn4bikes@msn.com,,,[],,"Grassroots vintage bicycle swap meet organized by community members through The CABE forum, hosted at Bikes and Beans/Das Alpenhaus.",Looks like the Boise Vintage Bike Swap Meet is coming up this June — hope planning's going well.,2026-07-10T03:05:04.996Z,true
