sourceId,orgName,location,type,email,phone,facebook,website,notes,enrichedAt,contactFound
afe9db9601c8,KOTO Ski Swap Film Night,"Telluride, CO",ski,[email protected],(970) 728-4333,https://www.facebook.com/KOTOTelluride/,https://koto.org/,KOTO is a community radio station serving Telluride since 1975.,2026-06-23T02:05:10.047Z,true
6e6218227221,Westborough Ski Swap,"Westborough, MA",ski,,,https://www.facebook.com/WASAwestborough/,https://www.westboro.org/,WASA is a community organization serving Westborough since 1935 supporting youth programs and providing scholarships.,2026-06-23T02:05:31.170Z,true
7adf8add08f1,Silicon Valley Bicycle Exchange,"Palo Alto, CA",bike,square@bikex.org,650-691-5989,https://www.facebook.com/bikex.org,https://bikex.org,Silicon Valley Bicycle Exchange is a 501(c)(3) nonprofit that refurbishes and donates bikes since 1993.,2026-06-23T02:05:53.015Z,true
e1fd338d2d39,Santa Fe Bike Swap,"Santa Fe, NM",bike,bikesantafe@gmail.com,(505) 262-4810,https://www.facebook.com/bikesantafe/,https://www.bikesantafe.org/,"Bike Santa Fe is a non-profit advocacy group promoting safe cycling in Santa Fe, New Mexico.",2026-06-23T02:06:00.832Z,true
04dba9f0154a,Bike New York,"New York, NY",bike,info@bike.nyc,(212) 870-2080,https://www.facebook.com/bikenewyork/,https://www.bike.nyc,"Bike New York is a nonprofit promoting cycling through education, events, and advocacy in NYC.",2026-06-23T02:06:08.528Z,true
564659cc62f8,Yellow Bike Project Events,"Austin, TX",bike,info@austinyellowbike.org,(512) 524-5299,https://www.facebook.com/austinyellowbike/,https://austinyellowbike.org,Non-profit community bike shop that refurbishes and donates bicycles to Austin's vulnerable communities.,2026-06-23T02:06:19.689Z,true
25ec0eb9e925,Kids Bike Swap,"Brooklyn, NY",bike,,518-474-0456,https://www.facebook.com/nystateparks/,https://parks.ny.gov,"NYS Office of Parks, Recreation and Historic Preservation oversees more than 250 parks and historic sites across New York State.",2026-06-23T02:06:32.003Z,true
cb6b635c9adb,ReCycle Bike Drive,"Los Altos, CA",bike,info@greentownlosaltos.org,650-468-0903,https://www.facebook.com/GreenTownLosAltos,https://www.greentownlosaltos.org,"GreenTown Los Altos is a nonprofit organization dedicated to environmental sustainability through community engagement, education, and advocacy.",2026-06-23T02:06:42.842Z,true
a3f32b39a044,Bike to the Future,"San Jose, CA",bike,contactus@bikesiliconvalley.org,(408) 287-7259,https://www.facebook.com/BikeSiliconValley/,https://bikesiliconvalley.org,Silicon Valley Bicycle Coalition is a nonprofit advocating for safer bicycling in San Mateo and Santa Clara counties.,2026-06-23T02:06:49.529Z,true
cfb01a1b25c4,Denver Bike Fest,"Denver, CO",bike,denverbikefest@gmail.com,,https://www.facebook.com/61589078352404/,https://denverbikefest.app/,"A grassroots community festival celebrating Denver's cycling community with live music, food, and local bike organizations.",2026-06-23T02:07:03.917Z,true
82415d27f692,Free Youth Bike Giveaway: Repair & Ride,"Fort Worth, TX",bike,gangbossguido@thebikegangsoffortworth.org,682-429-2298,https://www.facebook.com/thebikegangsoffortworth/,https://www.thebikegangsoffortworth.org,"Bike Gangs of Fort Worth is a nonprofit founded in 2016 that provides free bike rides, repairs, and bikes to foster neighborhood friendships.",2026-06-23T02:07:19.128Z,true
51dac3ef1e47,E-Bike Test & Ride Community Event,"Oakland, CA",bike,customer-support@avaenergy.org,(833) 699-3223,https://www.facebook.com/PoweredwithAva/,https://avaenergy.org,Ava Community Energy is a not-for-profit public electricity supplier for Alameda County offering clean energy programs including e-bike rebates.,2026-06-23T02:07:31.786Z,true
7e720b59d7ca,Light Up the Night Bike Light Giveaway,"San Francisco, CA",bike,info@sfbike.org,415-431-2453,https://www.facebook.com/sfbike/,https://sfbike.org,"The San Francisco Bicycle Coalition promotes bicycling as everyday transportation through advocacy, education, and community programs.",2026-06-23T02:07:42.437Z,true
464bf4ba2798,Annual Cross-Country and Backcountry Ski Swap,"Tahoe City, CA",ski,Contact@tahoexc.org,530-583-5475,https://www.facebook.com/TahoeXC/,https://tahoexc.org,TCCSEA is a nonprofit 501(c)3 organization offering free and affordable outdoor recreation and education programs for all ages.,2026-06-23T02:07:50.500Z,true
fec7c1a77e4d,Team Summit Ski Swap,"Summit County, CO",ski,events@teamsummit.org,(970) 968-3080,https://www.facebook.com/TeamSummitColorado/,https://teamsummit.org,"Team Summit Colorado is a nonprofit youth development organization offering alpine skiing, freeskiing, snowboarding, and mountain bike programs in Summit County.",2026-06-23T02:07:58.935Z,true
4e41f4a9bfa0,SSEF Ski Swap,"Farmington, UT",ski,admin@snowbasinskiteam.org,(801) 396-5507,https://www.facebook.com/snowbasinskiteam/,https://www.snowbasinskiteam.org/,A community-supported nonprofit dedicated to promoting winter sports for youth athletes in Utah.,2026-06-23T02:08:10.371Z,true
d11e9dd1cd8c,Four Valleys Ski & Sports Swap,"Girdwood, AK",ski,FVCS@fourvalleys.org,(907) 742-5317,https://www.facebook.com/FourValleysCommunitySchool/,https://www.fourvalleys.org,"Four Valleys Community School is a nonprofit offering recreational, educational and cultural activities for all ages in the Girdwood area.",2026-06-23T02:08:18.489Z,true
1fe9b6210797,The Mountaineers Annual Gear Swap,"Bellingham, WA",gear,bellinghammountaineers@gmail.com,206-521-6001,https://www.facebook.com/bellingham.mountaineers/,https://www.bellinghammountaineers.com/,The Mountaineers is a nonprofit outdoor organization offering courses and activities in the Pacific Northwest and beyond.,2026-06-23T02:08:29.127Z,true
ae71bacb7f38,Twin Cities Bike Swap,"Minneapolis, MN",bike,info@mncyclingcenter.org,612-940-3984,,https://www.twincitiesbikeswap.com/,"Annual bike swap organized by MN Cycling Center, a non-profit building a new velodrome in Minnesota.",2026-06-23T02:08:49.517Z,true
a23b003ce7cd,Bicycle Heaven Swap Meet,"Pittsburgh, PA",bike,Bikeheaven@comcast.net,(412) 734-4034,https://www.facebook.com/bicycleheaven/,https://www.bicycleheaven.org,"World's largest bicycle museum and shop established in 2011 in Pittsburgh, PA.",2026-06-23T02:08:59.147Z,true
4ef063b7e6fb,Marin Museum Cycles Swap,"Fairfax, CA",bike,info@mmbhof.org,415-450-8000,https://www.facebook.com/MarinBikeMuse/,https://mmbhof.org,"A volunteer-run nonprofit bicycle history museum and cultural center in Fairfax, California, home to the Mountain Bike Hall of Fame.",2026-06-23T02:09:07.370Z,true
a060f8b634d2,Memory Lane Classics Bicycle Swap,"Bowling Green, OH",bike,Don.honn8@gmail.com,(765) 469-2526,https://www.facebook.com/61573542251056,http://www.memorylane-classics.com,Memory Lane Swap Meet is one of the oldest bicycle swap meets in the world.,2026-06-23T02:09:19.095Z,true
